"stem","occurrences","frequency","weight"
"stroll",12,0.000012,0.988084
"strong",202,0.000202,0.817265
"strong-mad",1,0.000001,0.999002
"stronger",37,0.000037,0.963713
"strongest",20,0.000020,0.980219
"strongheart",1,0.000001,0.999002
"stronghold",6,0.000006,0.994024
"strongli",37,0.000037,0.963713
"strongroom",1,0.000001,0.999002
"strop",2,0.000002,0.998004
"stroph",1,0.000001,0.999002
"strove",4,0.000004,0.996012
"struck",59,0.000059,0.942764
"structur",164,0.000164,0.848885
"struggl",93,0.000093,0.911281
"strukturbericht",1,0.000001,0.999002
"strum",1,0.000001,0.999002
"strung",4,0.000004,0.996012
"strut",6,0.000006,0.994024
"strychnin",4,0.000004,0.996012
"stuart",16,0.000016,0.984144
"stuart-famili",1,0.000001,0.999002
"stub",6,0.000006,0.994024
"stubb",1,0.000001,0.999002
"stubbi",3,0.000003,0.997008
"stubbl",2,0.000002,0.998004
"stubblefield",8,0.000008,0.992040
"stubborn",14,0.000014,0.986112
"stubbornli",3,0.000003,0.997008
"stucco",4,0.000004,0.996012
"stuck",23,0.000023,0.977286
"stuck-up",3,0.000003,0.997008
"stud",14,0.000014,0.986112
"studebak",1,0.000001,0.999002
"student",344,0.000344,0.709180
"student'",3,0.000003,0.997008
"student-direct",1,0.000001,0.999002
"student-loan",1,0.000001,0.999002
"student-physicist",1,0.000001,0.999002
"students'",4,0.000004,0.996012
"studi",468,0.000468,0.626555
"studio",33,0.000033,0.967571
"studiou",1,0.000001,0.999002
"studious",2,0.000002,0.998004
"stuf",7,0.000007,0.993032
"stuff",32,0.000032,0.968539
"stuffi",2,0.000002,0.998004
"stultifi",1,0.000001,0.999002
"stumbl",31,0.000031,0.969507
"stumbling-block",1,0.000001,0.999002
"stump",9,0.000009,0.991050
"stumpag",1,0.000001,0.999002
"stumpi",1,0.000001,0.999002
"stun",14,0.000014,0.986112
"stung",2,0.000002,0.998004
"stunk",1,0.000001,0.999002
"stunningli",1,0.000001,0.999002
"stunt",3,0.000003,0.997008
"stupefi",1,0.000001,0.999002
"stupend",3,0.000003,0.997008
"stupid",33,0.000033,0.967571
"stupidest",1,0.000001,0.999002
"stupidli",2,0.000002,0.998004
"stupor",4,0.000004,0.996012
"sturbridg",1,0.000001,0.999002
"sturch",2,0.000002,0.998004
"sturdi",16,0.000016,0.984144
"sturgeon",1,0.000001,0.999002
"sturley",10,0.000010,0.990060
"sturley'",1,0.000001,0.999002
"stuttgart",1,0.000001,0.999002
"styka",16,0.000016,0.984144
"style",122,0.000122,0.885260
"stylemark",1,0.000001,0.999002
"stylish",1,0.000001,0.999002
"stylist",4,0.000004,0.996012
"styliz",4,0.000004,0.996012
"stymi",1,0.000001,0.999002
"styren",8,0.000008,0.992040
"styrene'",1,0.000001,0.999002
"styron",2,0.000002,0.998004
"styryl-lithium",1,0.000001,0.999002
"su",5,0.000005,0.995018
"suabil",1,0.000001,0.999002
"suabl",1,0.000001,0.999002
"suav",2,0.000002,0.998004
"suaviti",1,0.000001,0.999002
"sub",8,0.000008,0.992040
"sub-assembl",1,0.000001,0.999002
"sub-chief",1,0.000001,0.999002
"sub-chiefdom",1,0.000001,0.999002
"sub-christian",1,0.000001,0.999002
"sub-conscious-level",1,0.000001,0.999002
"sub-freez",1,0.000001,0.999002
"sub-group",1,0.000001,0.999002
"sub-human",1,0.000001,0.999002
"sub-interv",3,0.000003,0.997008
"sub-stat",1,0.000001,0.999002
"sub-surfac",1,0.000001,0.999002
"sub-test",2,0.000002,0.998004
"sub-zero",1,0.000001,0.999002
"subaltern",1,0.000001,0.999002
"subatom",1,0.000001,0.999002
"subcommitte",5,0.000005,0.995018
"subconsci",8,0.000008,0.992040
"subcontin",1,0.000001,0.999002
"subcontract",1,0.000001,0.999002
"subdivis",12,0.000012,0.988084
"subdu",12,0.000012,0.988084
"subfigur",1,0.000001,0.999002
"subgross",2,0.000002,0.998004
"subgroup",7,0.000007,0.993032
"subhuman",1,0.000001,0.999002
"subic",2,0.000002,0.998004
"subject",291,0.000291,0.747740
"subject'",1,0.000001,0.999002
"subjectivist",3,0.000003,0.997008
"subjects'",1,0.000001,0.999002
"subjug",4,0.000004,0.996012
"subleas",1,0.000001,0.999002
"sublim",6,0.000006,0.994024
"subliterari",1,0.000001,0.999002
"sublunari",1,0.000001,0.999002
"submachin",3,0.000003,0.997008
"submarin",47,0.000047,0.954134
"submarine-bal",1,0.000001,0.999002
"submerg",8,0.000008,0.992040
"submiss",9,0.000009,0.991050
"submit",48,0.000048,0.953181
"submucosa",2,0.000002,0.998004
"subnorm",1,0.000001,0.999002
"subordin",21,0.000021,0.979240
"subparagraph",1,0.000001,0.999002
"subpart",1,0.000001,0.999002
"subpena",2,0.000002,0.998004
"subpoena",2,0.000002,0.998004
"subrog",1,0.000001,0.999002
"subroutin",2,0.000002,0.998004
"subscrib",13,0.000013,0.987097
"subscript",5,0.000005,0.995018
"subsect",16,0.000016,0.984144
"subsedi",1,0.000001,0.999002
"subsequ",40,0.000040,0.960829
"subservi",4,0.000004,0.996012
"subsid",15,0.000015,0.985127
"subsidi",6,0.000006,0.994024
"subsidiari",9,0.000009,0.991050
"subsist",12,0.000012,0.988084
"subsoil",1,0.000001,0.999002
"subspac",8,0.000008,0.992040
"subspeci",3,0.000003,0.997008
"substanc",56,0.000056,0.945594
"substant",4,0.000004,0.996012
"substanti",106,0.000106,0.899523
"substeril",1,0.000001,0.999002
"substitut",49,0.000049,0.952229
"substitutionari",1,0.000001,0.999002
"substrat",26,0.000026,0.974361
"substratum",1,0.000001,0.999002
"substructur",1,0.000001,0.999002
"subsum",1,0.000001,0.999002
"subsurfac",1,0.000001,0.999002
"subsystem",12,0.000012,0.988084
"subtend",2,0.000002,0.998004
"subterfug",1,0.000001,0.999002
"subtili",2,0.000002,0.998004
"subtitl",3,0.000003,0.997008
"subtl",25,0.000025,0.975335
"subtler",1,0.000001,0.999002
"subtleti",5,0.000005,0.995018
"subtli",6,0.000006,0.994024
"subtract",15,0.000015,0.985127
"subtyp",4,0.000004,0.996012
"suburb",31,0.000031,0.969507
"suburban",30,0.000030,0.970476
"suburbanit",3,0.000003,0.997008
"suburbia",1,0.000001,0.999002
"subvers",4,0.000004,0.996012
"subvert",2,0.000002,0.998004
"subway",8,0.000008,0.992040
"succe",8,0.000008,0.992040
"succeed",54,0.000054,0.947485
"success",280,0.000280,0.756002
"success-ori",1,0.000001,0.999002
"successor",22,0.000022,0.978262
"successors-in-spirit",1,0.000001,0.999002
"successorship",1,0.000001,0.999002
"succinct",1,0.000001,0.999002
"succinctli",2,0.000002,0.998004
"succor",1,0.000001,0.999002
"succumb",7,0.000007,0.993032
"sucess",1,0.000001,0.999002
"such",1303,0.001302,0.272080
"suck",19,0.000019,0.981199
"sucker",1,0.000001,0.999002
"sucker-rol",1,0.000001,0.999002
"suction",1,0.000001,0.999002
"sud",9,0.000009,0.991050
"sudanes",1,0.000001,0.999002
"sudden",40,0.000040,0.960829
"sudden-end",1,0.000001,0.999002
"suddenli",153,0.000153,0.858265
"sudier",1,0.000001,0.999002
"suds",1,0.000001,0.999002
"sue",19,0.000019,0.981199
"suey",1,0.000001,0.999002
"suez",2,0.000002,0.998004
"suez-hungari",2,0.000002,0.998004
"suffer",133,0.000133,0.875585
"suffic",5,0.000005,0.995018
"suffici",106,0.000106,0.899523
"suffix",2,0.000002,0.998004
"suffoc",7,0.000007,0.993032
"suffrag",5,0.000005,0.995018
"suffragett",1,0.000001,0.999002
"suffus",6,0.000006,0.994024
"sugar",35,0.000035,0.965640
"sugg",1,0.000001,0.999002
"suggest",270,0.000270,0.763592
"suhthuhn",1,0.000001,0.999002
"suicid",19,0.000019,0.981199
"suit",126,0.000126,0.881729
"suitabl",38,0.000038,0.962751
"suitably-load",1,0.000001,0.999002
"suitcas",25,0.000025,0.975335
"suite'",1,0.000001,0.999002
"suitor",4,0.000004,0.996012
"sukarno",4,0.000004,0.996012
"sukarno'",1,0.000001,0.999002
"sukuma",1,0.000001,0.999002
"sulamit",1,0.000001,0.999002
"sulamith",1,0.000001,0.999002
"sulcer",1,0.000001,0.999002
"sulfaquinoxalin",1,0.000001,0.999002
"sulfid",1,0.000001,0.999002
"sulfur",1,0.000001,0.999002
"sulk",4,0.000004,0.996012
"sulki",4,0.000004,0.996012
"sulkili",1,0.000001,0.999002
"sulky'",1,0.000001,0.999002
"sullam",3,0.000003,0.997008
"sullen",9,0.000009,0.991050
"sullenli",2,0.000002,0.998004
"sulli",1,0.000001,0.999002
"sullivan",8,0.000008,0.992040
"sulphur",4,0.000004,0.996012
"sultan",8,0.000008,0.992040
"sultri",1,0.000001,0.999002
"sulzberg",3,0.000003,0.997008
"sulzberger'",2,0.000002,0.998004
"sum",70,0.000070,0.932461
"sumac",1,0.000001,0.999002
"sumatra",1,0.000001,0.999002
"summar",17,0.000017,0.983161
"summari",21,0.000021,0.979240
"summat",5,0.000005,0.995018
"summer",151,0.000151,0.859981
"summer'",7,0.000007,0.993032
"summer-wint",1,0.000001,0.999002
"summerdal",2,0.000002,0.998004
"summerspac",1,0.000001,0.999002
"summertim",4,0.000004,0.996012
"summit",12,0.000012,0.988084
"summitri",1,0.000001,0.999002
"summon",14,0.000014,0.986112
"sumner",2,0.000002,0.998004
"sumptuou",4,0.000004,0.996012
"sumter",2,0.000002,0.998004
"sun",115,0.000115,0.891472
"sun'",4,0.000004,0.996012
"sun'll",1,0.000001,0.999002
"sun-bak",1,0.000001,0.999002
"sun-bleach",1,0.000001,0.999002
"sun-brown",1,0.000001,0.999002
"sun-burn",1,0.000001,0.999002
"sun-inflam",1,0.000001,0.999002
"sun-suit",1,0.000001,0.999002
"sun-tan",2,0.000002,0.998004
"sun-tim",1,0.000001,0.999002
"sun-warm",1,0.000001,0.999002
"sunay",1,0.000001,0.999002
"sunbak",1,0.000001,0.999002
"sunbonnet",1,0.000001,0.999002
"sunburn",5,0.000005,0.995018
"sunburnt",1,0.000001,0.999002
"sunday",110,0.000110,0.895936
"sunday'",6,0.000006,0.994024
"sunday-school",1,0.000001,0.999002
"sunder",1,0.000001,0.999002
"sundial",1,0.000001,0.999002
"sundown",6,0.000006,0.994024
"sundri",5,0.000005,0.995018
"sung",18,0.000018,0.982179
"sung-shan",1,0.000001,0.999002
"sunk",6,0.000006,0.994024
"sunken",3,0.000003,0.997008
"sunlight",17,0.000017,0.983161
"sunman",1,0.000001,0.999002
"sunni",13,0.000013,0.987097
"sunnyval",3,0.000003,0.997008
"sunris",10,0.000010,0.990060
"sunset",14,0.000014,0.986112
"sunshad",2,0.000002,0.998004
"sunshield",1,0.000001,0.999002
"sunshin",8,0.000008,0.992040
"sunshini",1,0.000001,0.999002
"sunspot",1,0.000001,0.999002
"sunt",1,0.000001,0.999002
"suntan",1,0.000001,0.999002
"sup",1,0.000001,0.999002
"super",8,0.000008,0.992040
"super-c",1,0.000001,0.999002
"super-charg",1,0.000001,0.999002
"super-condamin",4,0.000004,0.996012
"super-empir",1,0.000001,0.999002
"super-experi",1,0.000001,0.999002
"super-herculean",1,0.000001,0.999002
"super-high",1,0.000001,0.999002
"super-impos",1,0.000001,0.999002
"super-protein",1,0.000001,0.999002
"super-secret",1,0.000001,0.999002
"super-set",11,0.000011,0.989071
"superb",14,0.000014,0.986112
"superbl",9,0.000009,0.991050
"superced",1,0.000001,0.999002
"supercili",1,0.000001,0.999002
"supercrit",1,0.000001,0.999002
"superego",1,0.000001,0.999002
"superfici",11,0.000011,0.989071
"superflu",3,0.000003,0.997008
"superhighway",1,0.000001,0.999002
"superhuman",2,0.000002,0.998004
"superieur",1,0.000001,0.999002
"superimpos",12,0.000012,0.988084
"superintend",20,0.000020,0.980219
"superintendent'",2,0.000002,0.998004
"superior",64,0.000064,0.938067
"superl",4,0.000004,0.996012
"superlunari",1,0.000001,0.999002
"supermachin",1,0.000001,0.999002
"supermarket",4,0.000004,0.996012
"supermat",1,0.000001,0.999002
"supernat",1,0.000001,0.999002
"supernatur",21,0.000021,0.979240
"supernorm",1,0.000001,0.999002
"superpos",1,0.000001,0.999002
"superposit",1,0.000001,0.999002
"supersed",5,0.000005,0.995018
"supersensit",1,0.000001,0.999002
"superson",4,0.000004,0.996012
"superstit",10,0.000010,0.990060
"superstiti",1,0.000001,0.999002
"superstructur",1,0.000001,0.999002
"superven",1,0.000001,0.999002
"supervis",33,0.000033,0.967571
"supervisor",10,0.000010,0.990060
"supervisor'",2,0.000002,0.998004
"supervisori",2,0.000002,0.998004
"supervisors'",1,0.000001,0.999002
"supin",2,0.000002,0.998004
"supper",38,0.000038,0.962751
"suppl",1,0.000001,0.999002
"supplant",5,0.000005,0.995018
"supplement",40,0.000040,0.960829
"supplementari",9,0.000009,0.991050
"suppli",198,0.000198,0.820537
"supplic",2,0.000002,0.998004
"supplier",7,0.000007,0.993032
"support",294,0.000294,0.745502
"suppos",165,0.000165,0.848038
"supposedli",12,0.000012,0.988084
"supposit",3,0.000003,0.997008
"suppress",17,0.000017,0.983161
"supra",3,0.000003,0.997008
"supra-expression",1,0.000001,0.999002
"supra-person",1,0.000001,0.999002
"supran",1,0.000001,0.999002
"supranation",1,0.000001,0.999002
"suprem",55,0.000055,0.946539
"supremaci",5,0.000005,0.995018
"supt.",2,0.000002,0.998004
"sur",3,0.000003,0.997008
"surceas",1,0.000001,0.999002
"surcliff",1,0.000001,0.999002
"surcliffes'",1,0.000001,0.999002
"sure",310,0.000310,0.733681
"sure-enough",1,0.000001,0.999002
"sure-sur",2,0.000002,0.998004
"surf",1,0.000001,0.999002
"surfac",230,0.000230,0.794722
"surface-act",7,0.000007,0.993032
"surface-analyz",1,0.000001,0.999002
"surface-declar",1,0.000001,0.999002
"surfact",3,0.000003,0.997008
"surfeit",2,0.000002,0.998004
"surg",18,0.000018,0.982179
"surgeon",12,0.000012,0.988084
"surgeri",6,0.000006,0.994024
"surgic",1,0.000001,0.999002
"surli",2,0.000002,0.998004
"surmis",5,0.000005,0.995018
"surmount",3,0.000003,0.997008
"surnam",3,0.000003,0.997008
"surpass",3,0.000003,0.997008
"surplu",27,0.000027,0.973388
"surplus",4,0.000004,0.996012
"surpris",144,0.000144,0.866016
"surprisingli",18,0.000018,0.982179
"surreal",1,0.000001,0.999002
"surrealist",3,0.000003,0.997008
"surrend",33,0.000033,0.967571
"surreptiti",4,0.000004,0.996012
"surround",61,0.000061,0.940882
"surtout",1,0.000001,0.999002
"surveil",6,0.000006,0.994024
"survey",66,0.000066,0.936195
"survey-typ",2,0.000002,0.998004
"surveyor",5,0.000005,0.995018
"surviv",96,0.000096,0.908554
"survivalist",3,0.000003,0.997008
"survivor",14,0.000014,0.986112
"survivors'",1,0.000001,0.999002
"susan",37,0.000037,0.963713
"susan'",2,0.000002,0.998004
"suscept",8,0.000008,0.992040
"sushi",2,0.000002,0.998004
"susi",5,0.000005,0.995018
"susie'",1,0.000001,0.999002
"suspect",57,0.000057,0.944650
"suspend",34,0.000034,0.966605
"suspens",20,0.000020,0.980219
"suspensor",2,0.000002,0.998004
"suspici",17,0.000017,0.983161
"suspicion",34,0.000034,0.966605
"sussex",2,0.000002,0.998004
"sustain",32,0.000032,0.968539
"susten",3,0.000003,0.997008
"sut",1,0.000001,0.999002
"sutherland",6,0.000006,0.994024
"sutpen",1,0.000001,0.999002
"suvorov",6,0.000006,0.994024
"suvorov'",2,0.000002,0.998004
"suzann",1,0.000001,0.999002
"suzerain",2,0.000002,0.998004
"suzerainti",1,0.000001,0.999002
"suzuki",1,0.000001,0.999002
"svelt",1,0.000001,0.999002
"svenskarna",1,0.000001,0.999002
"svevo",1,0.000001,0.999002
"sw",3,0.000003,0.997008
"swab",1,0.000001,0.999002
"swadesh",8,0.000008,0.992040
"swadesh'",2,0.000002,0.998004
"swagger",4,0.000004,0.996012
"swahili",1,0.000001,0.999002
"swallow",27,0.000027,0.973388
"swallow-barn",1,0.000001,0.999002
"swam",6,0.000006,0.994024
"swami",1,0.000001,0.999002
"swamp",9,0.000009,0.991050
"swampi",1,0.000001,0.999002
"swan",4,0.000004,0.996012
"swank",1,0.000001,0.999002
"swanki",1,0.000001,0.999002
"swanlik",1,0.000001,0.999002
"swao",1,0.000001,0.999002
"swap",2,0.000002,0.998004
"swarm",10,0.000010,0.990060
"swart",1,0.000001,0.999002
"swarthi",4,0.000004,0.996012
"swartz",1,0.000001,0.999002
"swastika",1,0.000001,0.999002
"swatch",3,0.000003,0.997008
"swath",3,0.000003,0.997008
"sway",17,0.000017,0.983161
"sway-back",1,0.000001,0.999002
"swc",1,0.000001,0.999002
"swear",15,0.000015,0.985127
"swearing",1,0.000001,0.999002
"swearing-in",1,0.000001,0.999002
"sweat",28,0.000028,0.972416
"sweat-satur",1,0.000001,0.999002
"sweat-soak",1,0.000001,0.999002
"sweat-suit",1,0.000001,0.999002
"sweatband",1,0.000001,0.999002
"sweater",18,0.000018,0.982179
"sweathruna",1,0.000001,0.999002
"sweati",5,0.000005,0.995018
"sweatshirt",2,0.000002,0.998004
"sweazey",1,0.000001,0.999002
"swede",2,0.000002,0.998004
"sweden",10,0.000010,0.990060
"sweden'",3,0.000003,0.997008
"swedish",7,0.000007,0.993032
"sweeney",7,0.000007,0.993032
"sweep",29,0.000029,0.971445
"sweepingli",1,0.000001,0.999002
"sweepstak",2,0.000002,0.998004
"sweet",74,0.000074,0.928742
"sweet-clov",1,0.000001,0.999002
"sweet-fac",1,0.000001,0.999002
"sweet-shrub",1,0.000001,0.999002
"sweet-smel",2,0.000002,0.998004
"sweet-sound",1,0.000001,0.999002
"sweet-sour",3,0.000003,0.997008
"sweet-throat",1,0.000001,0.999002
"sweet-tongu",1,0.000001,0.999002
"sweeter",2,0.000002,0.998004
"sweetest",2,0.000002,0.998004
"sweetheart",10,0.000010,0.990060
"sweetheart-secretari",1,0.000001,0.999002
"sweetish",1,0.000001,0.999002
"sweetli",6,0.000006,0.994024
"sweetpea",1,0.000001,0.999002
"swell",27,0.000027,0.973388
"swelter",1,0.000001,0.999002
"swept",34,0.000034,0.966605
"swerv",6,0.000006,0.994024
"swift",34,0.000034,0.966605
"swift'",2,0.000002,0.998004
"swift-foot",1,0.000001,0.999002
"swift-strid",1,0.000001,0.999002
"swiftest",1,0.000001,0.999002
"swiftli",15,0.000015,0.985127
"swig",2,0.000002,0.998004
"swim",52,0.000052,0.949380
"swimmer",2,0.000002,0.998004
"swimmers'",1,0.000001,0.999002
"swimsuit",1,0.000001,0.999002
"swinburn",2,0.000002,0.998004
"swindl",2,0.000002,0.998004
"swine",3,0.000003,0.997008
"swing",43,0.000043,0.957954
"swingi",1,0.000001,0.999002
"swingin'",2,0.000002,0.998004
"swipe",4,0.000004,0.996012
"swirl",11,0.000011,0.989071
"swish",4,0.000004,0.996012
"swiss",14,0.000014,0.986112
"swiss-born",1,0.000001,0.999002
"switch",92,0.000092,0.912192
"switch-hitt",1,0.000001,0.999002
"switchblad",1,0.000001,0.999002
"switchboard",1,0.000001,0.999002
"switchgear",2,0.000002,0.998004
"switzer",1,0.000001,0.999002
"switzerland",12,0.000012,0.988084
"swivel",6,0.000006,0.994024
"swollen",12,0.000012,0.988084
"swollen-look",1,0.000001,0.999002
"swoop",12,0.000012,0.988084
"sword",12,0.000012,0.988084
"swore",14,0.000014,0.986112
"sworn",5,0.000005,0.995018
"swum",1,0.000001,0.999002
"swung",48,0.000048,0.953181
"sx-21",3,0.000003,0.997008
"sybert",1,0.000001,0.999002
"sybil",2,0.000002,0.998004
"sycoph",1,0.000001,0.999002
"sycophant",2,0.000002,0.998004
"sydney",5,0.000005,0.995018
"syllab",2,0.000002,0.998004
"syllabif",1,0.000001,0.999002
"syllabl",10,0.000010,0.990060
"sylphid",1,0.000001,0.999002
"sylvan",1,0.000001,0.999002
"sylvania",2,0.000002,0.998004
"sylvi",1,0.000001,0.999002
"symbol",164,0.000164,0.848885
"symbolic-sound",1,0.000001,0.999002
"symbolist",1,0.000001,0.999002
"symes'",1,0.000001,0.999002
"symington",2,0.000002,0.998004
"symmetr",10,0.000010,0.990060
"symmetri",7,0.000007,0.993032
"symond",1,0.000001,0.999002
"sympath",9,0.000009,0.991050
"sympathet",40,0.000040,0.960829
"sympathi",44,0.000044,0.956997
"sympathiqu",1,0.000001,0.999002
"symphon",7,0.000007,0.993032
"symphoni",36,0.000036,0.964676
"symphony'",1,0.000001,0.999002
"symposium",9,0.000009,0.991050
"symptom",19,0.000019,0.981199
"symptomat",7,0.000007,0.993032
"synagogu",5,0.000005,0.995018
"synaps",1,0.000001,0.999002
"sync",1,0.000001,0.999002
"synchron",8,0.000008,0.992040
"synchroni",2,0.000002,0.998004
"syndic",11,0.000011,0.989071
"syndicate'",1,0.000001,0.999002
"syndrom",2,0.000002,0.998004
"synerg",1,0.000001,0.999002
"synergist",1,0.000001,0.999002
"synod",1,0.000001,0.999002
"synonym",10,0.000010,0.990060
"synonymi",1,0.000001,0.999002
"syntact",3,0.000003,0.997008
"syntax",6,0.000006,0.994024
"synthes",4,0.000004,0.996012
"synthesi",16,0.000016,0.984144
"synthesis",1,0.000001,0.999002
"synthesizin",1,0.000001,0.999002
"synthet",13,0.000013,0.987097
"syracus",1,0.000001,0.999002
"syria",2,0.000002,0.998004
"syrian",2,0.000002,0.998004
"syring",1,0.000001,0.999002
"syringa",1,0.000001,0.999002
"syrup",4,0.000004,0.996012
"syrupi",2,0.000002,0.998004
"system",550,0.000549,0.577277
"system'",3,0.000003,0.997008
"systemat",33,0.000033,0.967571
"systematically-simpl",1,0.000001,0.999002
"szelenyi",1,0.000001,0.999002
"szold",15,0.000015,0.985127
"szolds'",2,0.000002,0.998004
"t",77,0.000077,0.925963
"tab",1,0.000001,0.999002
"tab-lift",1,0.000001,0.999002
"tabac",1,0.000001,0.999002
"tabb",1,0.000001,0.999002
"tabellen",1,0.000001,0.999002
"tabernacl",2,0.000002,0.998004
"tabit",1,0.000001,0.999002
"tabl",242,0.000242,0.785252
"table'",1,0.000001,0.999002
"table-tenni",1,0.000001,0.999002
"table-top",1,0.000001,0.999002
"tableau",1,0.000001,0.999002
"tablecloth",1,0.000001,0.999002
"tableland",1,0.000001,0.999002
"tablespoon",17,0.000017,0.983161
"tablet",4,0.000004,0.996012
"tabloid",1,0.000001,0.999002
"taboo",4,0.000004,0.996012
"tabul",9,0.000009,0.991050
"tabula",2,0.000002,0.998004
"tacit",2,0.000002,0.998004
"tacitli",2,0.000002,0.998004
"tacitu",1,0.000001,0.999002
"tack",8,0.000008,0.992040
"tack-sold",2,0.000002,0.998004
"tackl",11,0.000011,0.989071
"tacloban",2,0.000002,0.998004
"tact",8,0.000008,0.992040
"tactic",33,0.000033,0.967571
"tactil",2,0.000002,0.998004
"tactless",1,0.000001,0.999002
"tactual",9,0.000009,0.991050
"tadpol",1,0.000001,0.999002
"taffeta",2,0.000002,0.998004
"taffi",1,0.000001,0.999002
"taffycolor",1,0.000001,0.999002
"taft",1,0.000001,0.999002
"taft-hartley",3,0.000003,0.997008
"tag",13,0.000013,0.987097
"tagua",1,0.000001,0.999002
"tahiti",2,0.000002,0.998004
"taho",4,0.000004,0.996012
"tahs",1,0.000001,0.999002
"tahse'",1,0.000001,0.999002
"tai",1,0.000001,0.999002
"tail",31,0.000031,0.969507
"tailback",1,0.000001,0.999002
"tailgat",2,0.000002,0.998004
"tailin'",4,0.000004,0.996012
"tailor",11,0.000011,0.989071
"tailor-mad",3,0.000003,0.997008
"tailor-mak",1,0.000001,0.999002
"taint",2,0.000002,0.998004
"taipei",1,0.000001,0.999002
"taiwan",7,0.000007,0.993032
"take",874,0.000873,0.417655
"take-off",4,0.000004,0.996012
"take-up",4,0.000004,0.996012
"taken",281,0.000281,0.755247
"takeoff",4,0.000004,0.996012
"takeov",2,0.000002,0.998004
"takin",2,0.000002,0.998004
"takin'",2,0.000002,0.998004
"taksim",1,0.000001,0.999002
"talbott'",1,0.000001,0.999002
"tale",42,0.000042,0.958911
"talent",75,0.000075,0.927815
"taliesin",11,0.000011,0.989071
"talisman",1,0.000001,0.999002
"talk",334,0.000334,0.716300
"talk-about",1,0.000001,0.999002
"talker",1,0.000001,0.999002
"talki",1,0.000001,0.999002
"talkin'",1,0.000001,0.999002
"tall",55,0.000055,0.946539
"tall-grow",1,0.000001,0.999002
"tall-mast",1,0.000001,0.999002
"tall-tal",1,0.000001,0.999002
"tallahasse",1,0.000001,0.999002
"tallahoosa",1,0.000001,0.999002
"tallchief",1,0.000001,0.999002
"taller",7,0.000007,0.993032
"talleyrand",1,0.000001,0.999002
"talli",6,0.000006,0.994024
"tallow",1,0.000001,0.999002
"tallyho",7,0.000007,0.993032
"talmud",4,0.000004,0.996012
"talon",1,0.000001,0.999002
"tam-o'-shant",1,0.000001,0.999002
"tamal",1,0.000001,0.999002
"tambourin",2,0.000002,0.998004
"tame",6,0.000006,0.994024
"tamiris'",2,0.000002,0.998004
"tamiris-daniel",1,0.000001,0.999002
"tammani",7,0.000007,0.993032
"tamp",1,0.000001,0.999002
"tamper",3,0.000003,0.997008
"tan",15,0.000015,0.985127
"tandem",1,0.000001,0.999002
"taney'",1,0.000001,0.999002
"tang",4,0.000004,0.996012
"tanganika",1,0.000001,0.999002
"tangenc",3,0.000003,0.997008
"tangent",32,0.000032,0.968539
"tangenti",1,0.000001,0.999002
"tanger",1,0.000001,0.999002
"tangi",1,0.000001,0.999002
"tangibl",20,0.000020,0.980219
"tangl",13,0.000013,0.987097
"tango",3,0.000003,0.997008
"tanin",1,0.000001,0.999002
"tank",30,0.000030,0.970476
"tanker",3,0.000003,0.997008
"tannenbaum",1,0.000001,0.999002
"tanner",2,0.000002,0.998004
"tannhaeus",2,0.000002,0.998004
"tanni",1,0.000001,0.999002
"tannin",1,0.000001,0.999002
"tansi",1,0.000001,0.999002
"tantal",4,0.000004,0.996012
"tantalizingli",1,0.000001,0.999002
"tantamount",3,0.000003,0.997008
"tantrum",4,0.000004,0.996012
"tao",5,0.000005,0.995018
"taoism",4,0.000004,0.996012
"taoist",5,0.000005,0.995018
"tap",32,0.000032,0.968539
"tapdanc",1,0.000001,0.999002
"tape",40,0.000040,0.960829
"taper",12,0.000012,0.988084
"tapestri",7,0.000007,0.993032
"tapi",1,0.000001,0.999002
"tapley",1,0.000001,0.999002
"tappan",2,0.000002,0.998004
"tappet",28,0.000028,0.972416
"tar",13,0.000013,0.987097
"tar-soak",1,0.000001,0.999002
"tara",4,0.000004,0.996012
"taraday",1,0.000001,0.999002
"tarantara",1,0.000001,0.999002
"taras-tchaikovski",1,0.000001,0.999002
"tardi",2,0.000002,0.998004
"tardili",1,0.000001,0.999002
"tareytown",1,0.000001,0.999002
"target",67,0.000067,0.935260
"target'",1,0.000001,0.999002
"target-hunt",1,0.000001,0.999002
"target-languag",1,0.000001,0.999002
"targo",3,0.000003,0.997008
"tarheelia",1,0.000001,0.999002
"tariff",5,0.000005,0.995018
"tariff-fre",1,0.000001,0.999002
"tarkington",1,0.000001,0.999002
"tarnish",3,0.000003,0.997008
"tarpap",1,0.000001,0.999002
"tarpaulin",2,0.000002,0.998004
"tarpon",1,0.000001,0.999002
"tarrant",1,0.000001,0.999002
"tarri",1,0.000001,0.999002
"tart",7,0.000007,0.993032
"tartar",1,0.000001,0.999002
"tartari",2,0.000002,0.998004
"tartarugh",1,0.000001,0.999002
"tartli",1,0.000001,0.999002
"tartuff",4,0.000004,0.996012
"taruffi",1,0.000001,0.999002
"tarzan",4,0.000004,0.996012
"task",89,0.000089,0.914929
"taskmast",1,0.000001,0.999002
"tasmania",2,0.000002,0.998004
"tass",4,0.000004,0.996012
"tassel",1,0.000001,0.999002
"tasso",1,0.000001,0.999002
"tast",84,0.000084,0.919511
"tasteless",1,0.000001,0.999002
"tasti",2,0.000002,0.998004
"tasti-freez",1,0.000001,0.999002
